"year","prod_model","fg","dbh","q025","q05","q25","q50","q75","q95","q975","dens_model"
1995,1,"fg1",1,1.28929792948477,1.58869979354005,3.02416853095456,4.73198,7.40327622818541,14.0960703421818,17.3773752794104,NA
1995,1,"fg1",1.05921252001675,1.46379526988645,1.80400683650376,3.43396680859872,5.37319331493189,8.40697555365319,16.0053142494648,19.7312623127949,NA
1995,1,"fg1",1.12193116256024,1.66233849870911,2.04841346042821,3.89929500733826,6.10131385530065,9.54603942430523,18.1756034995664,22.4060964595783,NA
1995,1,"fg1",1.18836353398076,1.88754934855652,2.32597902169481,4.42770535674066,6.92754948134663,10.839641892993,20.639349241892,25.4412464851587,NA
1995,1,"fg1",1.25872953352377,2.14332984545541,2.64103976665281,5.02809796028265,7.86606507060945,12.3078860615623,23.4350386437991,28.8877983265495,NA
1995,1,"fg1",1.33326208122323,2.43363830019429,2.99912198408103,5.70953373947586,8.93211060011858,13.9747578380895,26.6097204977363,32.8013375823269,NA
1995,1,"fg1",1.41220788889523,2.76353295955367,3.40572864695973,6.48351706155742,10.1427489319662,15.8689768065301,30.2167614080353,37.245296247021,NA
1995,1,"fg1",1.49582827678426,3.13844422656872,3.86744101977218,7.36171677417344,11.5172403344223,18.0203916451312,34.3084656790737,42.2932690375383,NA
1995,1,"fg1",1.58440003856497,3.5640064819971,4.39157757177697,8.35963757516322,13.0780277657881,20.4628575458128,38.9568154663948,48.0255781198771,NA
1995,1,"fg1",1.67821635756304,4.04722144082477,4.98699022286782,9.49210869187719,14.8501860966718,23.2365895522968,44.2380980455902,54.5343805288362,NA
1995,1,"fg1",1.77758777722769,4.59593887500704,5.66300752888144,10.7786819457135,16.8630618156405,26.3862912767951,50.2322753724942,61.9200677530434,NA
1995,1,"fg1",1.88284322906832,5.21838954803606,6.43105710963448,12.2400151955853,19.1470313776492,29.9590318224465,57.0416312700653,70.3145372766577,NA
1995,1,"fg1",1.99433112145793,5.92494008125003,7.30194304359381,13.8984258945703,21.7410635780186,34.0206494528979,64.7748182608485,79.8414645762438,NA
1995,1,"fg1",2.11242049290729,6.7277265767216,8.29158237110847,15.7807394305388,24.687142332141,38.632563249572,73.552873920436,90.6604217250661,NA
1995,1,"fg1",2.23750223362737,7.63884164889943,9.41529424334318,17.9196826351142,28.0331609071163,43.8667457175466,83.5164879766333,102.9404835545,NA
1995,1,"fg1",2.36999037942355,8.67404518984389,10.6903596424086,20.3490898692449,31.8338958552428,49.8120845931071,94.8386730929241,116.887438701265,NA
1995,1,"fg1",2.51032348220468,9.84915481821306,12.1391074106053,23.1049842019243,36.1498713277446,56.5608151232253,107.673776705657,132.722525644994,NA
1995,1,"fg1",2.65896606164325,11.1842246920588,13.7836100073462,26.2365385871692,41.0470157255043,64.2214138345747,122.272810949146,150.70999011776,NA
1995,1,"fg1",2.81641014279217,12.6989816809151,15.6507268321169,29.7929263837964,46.6069535670031,72.9228282219464,138.835476682188,171.132887736848,NA
1995,1,"fg1",2.98317688474764,14.420034430859,17.7729401815413,33.82731837505,52.9193210180526,82.8014025691019,157.649612504614,194.334932602024,NA
1995,1,"fg1",3.15981830574927,16.3741719177176,20.1841242473369,38.4093806145685,60.0893857950931,94.0185317952904,179.012122031322,220.649860984462,NA
1995,1,"fg1",3.34691911042775,18.5943736639155,22.9159789248937,43.613540208497,68.2348583553826,106.757505963747,203.264046705392,250.541481790786,NA
1995,1,"fg1",3.54509862524841,21.112840221989,26.0208919169449,49.5237247313994,77.4823520679377,121.225374971969,230.807742980227,284.462827644758,NA
1995,1,"fg1",3.75501284855729,23.9729221882735,29.547356291479,56.229103497308,87.9765244261481,137.64659204775,262.087257349676,323.059009867049,NA
1995,1,"fg1",3.97735662201565,27.2200839369249,33.553522317824,63.8484094729214,99.9018940037388,156.299039845441,297.577738640527,366.784519476785,NA
1995,1,"fg1",4.21286593061052,30.91062093041,38.1012601513314,72.5029780706843,113.446700155111,177.472998792886,337.886717346955,416.462665791608,NA
1995,1,"fg1",4.46232033885469,35.0971374333294,43.2663147692558,82.3274231053288,128.817445101479,201.53538358831,383.712427354239,472.920706168776,NA
